iter	Logloss
0	0.6360472813
1	0.5947890598
2	0.5637002466
3	0.5390040194
4	0.520304581
5	0.506164524
6	0.4926289288
7	0.4846316187
8	0.475938951
9	0.4694853636
10	0.464749867
11	0.4612710703
12	0.4575593093
13	0.4548170279
14	0.4524522783
15	0.4498928875
16	0.448714791
17	0.4465778298
18	0.4449347488
19	0.4434773286
20	0.4428015527
21	0.4419802363
22	0.4410340541
23	0.440265758
24	0.4395262811
25	0.4386918033
26	0.4383968478
27	0.4378364028
28	0.4368433791
29	0.4362108449
30	0.4354956805
31	0.4351682032
32	0.4346265963
33	0.4342257229
34	0.4338616561
35	0.4334217027
36	0.4325801052
37	0.4321242856
38	0.4317528453
39	0.4314974169
40	0.4310803095
41	0.4305341621
42	0.4299984641
43	0.4296894918
44	0.4293189354
45	0.4287647697
46	0.4282265997
47	0.4279117579
48	0.4274029422
49	0.4269935663
50	0.4267003353
51	0.4263697384
52	0.4259033316
53	0.4255271412
54	0.4252262951
55	0.4248987247
56	0.4244910286
57	0.4240003751
58	0.423588761
59	0.4232989815
60	0.4227599379
61	0.4224582409
62	0.4222380452
63	0.4217121831
64	0.4213891677
65	0.4211340016
66	0.4207615916
67	0.4205436217
68	0.4202167729
69	0.4199467488
70	0.4194757389
71	0.4191866549
72	0.4187418723
73	0.418534288
74	0.4182769893
75	0.4181042675
76	0.4173927261
77	0.4168188542
78	0.4164292133
79	0.4161794364
80	0.4159881262
81	0.4158939399
82	0.4154528989
83	0.4148924956
84	0.4145442104
85	0.4143558042
86	0.4142876985
87	0.4138195279
88	0.4135353621
89	0.4131995022
90	0.4128664454
91	0.4124436081
92	0.4121475305
93	0.4118337795
94	0.4113173543
95	0.4110871786
96	0.4105183423
97	0.4104606046
98	0.4102987865
99	0.4100773315
