iter	Passed	Remaining
0	1	130
1	2	126
2	3	123
3	4	115
4	5	111
5	7	111
6	8	110
7	9	111
8	10	108
9	11	106
10	13	105
11	14	107
12	15	106
13	17	104
14	18	103
15	19	101
16	20	99
17	21	97
18	22	95
19	23	93
20	24	92
21	25	91
22	26	89
23	27	88
24	29	87
25	30	86
26	31	85
27	32	84
28	33	82
29	34	81
30	36	80
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	45	70
39	46	70
40	47	69
41	49	67
42	50	66
43	51	65
44	52	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	60	57
51	61	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	76	42
64	77	41
65	78	40
66	80	39
67	81	38
68	82	37
69	83	35
70	85	34
71	86	33
72	87	32
73	88	31
74	90	30
75	91	29
76	93	27
77	94	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	17
86	105	15
87	107	14
88	108	13
89	109	12
90	111	11
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	121	1
99	122	0
